Business Unit ,Country of participant,Course Title,Start Date,End Date,Duration Hours,Training offered,Category,Delivery Method,Product Type,Training Supplier ID,Learning Activity ID
DI SW DM BEN&IS SPM-MFE,DE,Opcenter Execution Process 4.3 - End of increment demo,17/11/21,17/11/21,2,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,79886482
DI SW DM BEN&IS SPM-MFE,DE,DM Learning Day - Introduction to Tecnomatix Plant Simulation,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80707965
DI SW DM BEN&IS SPM-MFE,DE,DM Learning Day - Data Sources in DI SW,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80708080
DI SW DM BEN&IS SPM-MFE,DE,DM Learning Day - AWS Guest Speaker : Serverless Solution,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80709122
DI SW DM BEN&IS SPM-MFE,DE,Siemens Export Control Essentials,6/4/22,6/4/22,0.333,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81788046
DI SW DM DEN PPM&CEN,DE,DM Learning Day - Building a budget,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80579535
DI SW DM DEN PPM&CEN,DE, Knowledge Graph technology and applicability,20/1/22,20/1/22,1,Internal,Business Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,LTI100 - QUICK - Manual entry for Formal Learning Activities,80016846
DI SW DM DEN PPM&CEN,DE, Introduction to Tecnomatix Plant Simulation,20/1/22,20/1/22,1,Internal,Business Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,LTI100 - QUICK - Manual entry for Formal Learning Activities,80016850
DI SW DM DEN PPM&CEN,DE,DM Learning Day - Own you Career,20/1/22,20/1/22,1.5,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80385403
DI SW DM DEN PPM&CEN,DE,"DM Learning Day - A Growth Mindset, Led by: Timo Nentwich, DI SW CFO",20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80705969
DI SW DM DEN PPM&CEN,DE,DM Learning Day - Knowledge Graph technology and applicability,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80707197
DI SW DM DEN PPM&CEN,DE,"DM Learning Day - Teamcenter Doctor, a Teamcenter Operation Diagnostic Suite Introduction and latest updates",20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80707369
DI SW DM DEN PPM&CEN,DE,DM Learning Day - Introduction to Tecnomatix Plant Simulation,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80707927
DI SW DM DEN PPM&CEN,DE,AD-Anwendungsschulung Tag 1,14/2/22,14/2/22,4,Internal,Business Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,OUTLOOK10 - My Community Learning (Community-Based Learning),80458597
DI SW DM DEN PPM&CEN,DE,Siemens Export Control Essentials,30/3/22,30/3/22,0.333,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81345599
DI SW DM R&D-MOM MM R&D ITA,IT,DM Learning Day - Modular MOM – Quo vadis?,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80705872
DI SW DM R&D-MOM MM R&D ITA,IT,DM Learning Day - The 12 Agile Principles: What Are They and Do They Still Matter?,20/1/22,20/1/22,1.5,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80711717
DI SW DM R&D-MOM MM R&D ITA,IT,Cybersec - It's up to us!,30/7/19,25/1/22,0.5,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,80279587
DI SW DM R&D-MOM MM R&D ITA,IT,Anti-Corruption - Government Officials,1/2/22,1/2/22,0.033,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,80334850
DI SW DM R&D-MOM MM R&D ITA,IT,Anti-Corruption - Facilitation Payment,1/2/22,1/2/22,0.033,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,80336291
DI SW DM R&D-MOM MM R&D ITA,IT,Anti-Corruption - Collective Action,1/2/22,1/2/22,0.033,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,80338954
DI SW DM R&D-MOM MM R&D ITA,IT,Anti-Corruption - Business Partners,1/2/22,1/2/22,0.033,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,80340638
DI SW DM R&D-MOM MM R&D ITA,IT,Anti-Corruption - Sponsoring & Donations,1/2/22,1/2/22,0.033,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,80341789
DI SW DM R&D-MOM MM R&D ITA,IT,Siemens Export Control Essentials,7/3/22,7/3/22,0.333,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81017153
DI SW DM R&D-MOM MM R&D ITA,IT,"SAFe vs. Flight levels vs. LeSS - what's the difference?
",17/3/22,17/3/22,0.727,Internal,Business Learning,Virtual Instructor-led training (VILT),WBN - Webinar,DIGIHUB10 - DigiHub,81278964
